,well number,buffer,max frames,rg average,mass average,rg error,io average,porod average,vcqm average
110,E5,Buffer1,4.0,8.858088287007735,2.3125806821642323,2.413608988200051,6.645022750000515,4.647478051612291,0.448928813520656
111,A3,Average,21.0,31.068974258773146,57.05890681628701,3.054685076881007,30.996920026920353,3.800489351713377,22.504956939041406
112,A3,Buffer2,4.0,27.985729018232785,51.38121177039548,1.8222639914258572,28.235527418840995,3.3232162902528737,20.27575150111677
113,A3,Buffer1,18.0,29.52656353461203,54.59112824250596,3.165088691741068,29.95161824522399,3.671353038427256,21.597654524177745
114,E4,Average,14.0,6.238772919763423,0.697485989172043,1.3146887229035331,1.5548193443950222,0.6801124791716494,0.1404732719566739
115,E4,Buffer2,4.0,5.763116708368512,0.7120001665771696,1.032049395875484,1.590239632397632,nan,0.14380157141250435
116,E4,Buffer1,2.0,7.5751112788177375,1.3362387172662444,0.7190243954316514,2.991659575597512,1.6161212761016308,0.2697532142044219
117,G10,Average,6.0,10.767460526750071,3.1755214238281155,4.441877241190221,0.13482787010278993,0.6708820279457944,5.25650609833466
118,G10,Buffer2,9.0,11.279965689468805,3.297676038393758,7.330406712359773,0.18543716886654366,0.2205000752359667,5.786984372458823
119,G10,Buffer1,2.0,22.301041849641305,4.772668974371865,11.736971982848711,0.27559149187985743,0.33676461867281415,7.4131191185139205
120,C10,Average,20.0,6.696425540673798,0.8582189562249329,1.3020288938607143,1.709835686146309,2.1467285015514643,0.17859406388102034
121,C10,Buffer2,8.0,6.986606294497003,1.167586953525319,1.3195027579527185,2.328580118135351,1.3828667845928573,0.24413521489924134
122,C10,Buffer1,8.0,6.360814314558384,1.074784835819853,2.0410437144686053,2.1389263857082628,11.320272081970964,0.22428892771090053
123,E1,Average,8.0,12.584402742976168,10.243536569738739,4.912987405880234,18.61366565288537,3.1319242049638754,4.356455669865304
124,E1,Buffer2,27.0,11.423972338775776,8.970232425635363,3.765166890104443,16.488620375466855,2.920159768465576,3.7385116094299318
125,E1,Buffer1,8.0,12.548664295773122,10.680183959894281,7.06736959750346,18.76394878232384,6.500703327695259,4.754585668421353
126,H1,Average,1.0,4.64501185904644,1.6187425099618131,nan,0.0621350211241632,nan,3.017209895190002
127,H1,Buffer2,2.0,12.513140697866692,3.714529212648335,9.629847447164641,0.1907416594019091,1.5926131549854965,6.648121396183709
128,H1,Buffer1,6.0,9.642622406201745,2.5860129311063926,7.62001559024622,0.1364946956528964,1.5081508440163582,4.565673267669896
129,D2,Average,10.0,34.684343635245725,69.37087287205489,4.472617028573063,26.61294982803842,3.826459382070489,24.391893451490173
130,D2,Buffer2,16.0,23.551435697807104,40.75712651432862,8.763450880357851,16.102678487023603,2.6600503368640167,14.765240246536989
131,D2,Buffer1,4.0,31.823920783566578,62.560484872832006,2.841951297646948,24.21985003958485,3.9413089218007507,22.238360210569866
132,D3,Average,6.0,39.55452484941397,83.83468193767739,10.182968016009378,60.802460513312184,3.1670060726071125,27.824038572073288
133,D3,Buffer2,11.0,41.878806847702855,88.0599327866853,8.042567296102932,64.47196043391803,3.3796028664250675,29.599486820275015
134,D3,Buffer1,15.0,43.108144109062714,93.60508231659314,4.639989264707212,67.84831173207438,3.4650565858303017,31.03148218011085
135,F3,Average,21.0,11.201512237248783,8.196483828928914,2.3437291149647836,15.560020070054245,2.31384910609161,3.0267481752662775
136,F3,Buffer2,8.0,12.686872476927231,11.155503772184613,3.123921471315554,21.250622142568194,2.356418296446443,4.119540779274828
137,F3,Buffer1,19.0,11.54057894901693,9.961133847023321,4.358653956530649,18.883218350192838,2.9494955779068075,3.664071476548673
138,B10,Average,3.0,11.686010971497188,15.318452390255166,2.1073079171592357,3.568326745859585,1.7759951183205474,6.639457755928504
139,B10,Buffer2,2.0,15.504391865380722,24.049016308021784,3.526989532585403,5.686672080916525,0.6794628384492089,10.801139476127613
140,B10,Buffer1,1.0,6.140720076312856,4.996302427190053,nan,1.1704396526140988,nan,2.204731240673122
141,E11,Average,2.0,10.368421050881635,5.977604956321416,3.1216840354877875,12.950177796084233,2.2275431209551613,1.9577530867902244
142,E11,Buffer2,2.0,10.866468387863986,7.009523978790391,2.1966470167232104,15.151635236405799,1.4114724827317613,2.2862514681468182
143,E11,Buffer1,31.0,10.354588963506266,6.732659415613376,2.5456621535150674,14.57547422205939,4.797046820078419,2.2091964806380044
144,B12,Average,6.0,38.600007009978135,74.00296707991396,2.9581506815820724,117.16964680303802,3.9868953898573216,26.84184167793077
145,B12,Buffer2,26.0,37.571188091179536,72.43281262678592,3.7372252857808324,114.7896484935193,3.9927107077081043,26.288181240089763
146,B12,Buffer1,15.0,36.237249402507345,68.69239919367523,3.096320531716829,107.98588504544357,4.065882377111126,25.31774369083713
147,F8,Average,2.0,5.992721190514521,3.2516114007333847,0.2991848883336145,0.9901030321699372,nan,5.857922170369079
148,F8,Buffer2,4.0,5.702104239663971,3.2195904664215034,0.6888868426892301,0.989378514418974,nan,5.751877682504923
149,F8,Buffer1,1.0,5.801193915054717,3.3729751448731022,nan,1.0426155547611793,nan,5.76440467090891
