,filename,frame_number,well_num,buffer,rg_med,rg_std_err_med,rg_pstat,io_med,Vp,mass_vp
71,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00022.sub.1.ave.dat,00022,A2,Average,21.510527695954828,2.6139267015178467,7.823407318749783e-07,6.423207602354594,57606.10956613536,47.81307093989235
72,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00023.sub.1.ave.dat,00023,A2,Average,19.689006342785166,7.650965215099959,8.77336237834781e-07,5.7730732541864045,44517.20068718165,36.949276570360766
73,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00024.sub.1.ave.dat,00024,A2,Average,20.844122596965445,9.546111517433047,1.155284192770375e-06,5.641768735467087,47154.64375842433,39.138354319492194
74,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00025.sub.1.ave.dat,00025,A2,Average,22.967942857275638,5.144860302838852,1.0028354184255505e-05,6.62601023090095,61663.485644061875,51.18069308457136
75,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00026.sub.1.ave.dat,00026,A2,Average,18.826233565667728,7.9468260305425575,3.5497624024802185e-05,4.820137944786263,33272.03276660605,27.61578719628302
76,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00027.sub.1.ave.dat,00027,A2,Average,18.041380704717028,6.505875594390263,5.264700741346055e-07,5.017553469011905,34020.45290945561,28.23697591484816
77,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00028.sub.1.ave.dat,00028,A2,Average,16.47936069827543,6.783319455253945,1.3834534409129696e-05,4.2571046528869125,24344.085876138437,20.205591277194902
78,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00029.sub.1.ave.dat,00029,A2,Average,24.029832750898606,4.775457259807673,4.148235585200283e-06,6.973553993291932,71564.07057765803,59.398178579456165
79,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00030.sub.1.ave.dat,00030,A2,Average,12.611444850563188,4.703987898993609,1.2250927986460564e-06,2.6222758272295303,15059.333686669597,12.499246959935766
80,Subtracted\A2_results\Average\A2_Fe2CO_delc3_low_buff1_snap_00031.sub.1.ave.dat,00031,A2,Average,19.431645650455433,3.6499699770228466,2.5869105151423013e-08,5.368922935737955,40644.920868425455,33.73528432079313
